code,minutes,points_per_game,web_name,team_code,element_type,season
225796,1057,2.8,James,8,2,2025-26
180736,1969,3.7,Chalobah,8,2,2025-26
460028,3150,3.1,Colwill,8,2,2025-26
482609,1853,1.9,Gusto,8,2,2025-26
242880,332,1.4,B.Badiashile,8,2,2025-26
444463,1172,1.9,Fofana,8,2,2025-26
574458,0,0.0,M.Sarr,8,2,2025-26
109646,1403,3.2,Tosin,8,2,2025-26
577016,168,1.0,Acheampong,8,2,2025-26
622758,0,0.0,Anselmino,8,2,2025-26
244851,3193,5.8,Palmer,8,3,2025-26
247632,2262,3.0,Neto,8,3,2025-26
448047,2943,3.8,Enzo,8,3,2025-26
624773,0,0.0,Estêvão,8,3,2025-26
463936,0,0.0,Gittens,8,3,2025-26
213198,904,2.2,Nkunku,8,3,2025-26
486672,3351,2.6,Caicedo,8,3,2025-26
550615,177,2.1,George,8,3,2025-26
514356,792,1.6,Lavia,8,3,2025-26
465920,145,1.0,Mudryk,8,3,2025-26
532605,0,0.0,Andrey Santos,8,3,2025-26
491007,0,0.0,D.Essugo,8,3,2025-26
611134,0,0.0,Paez,8,3,2025-26
475168,1946,4.7,João Pedro,8,4,2025-26
463034,2587,3.6,Delap,8,4,2025-26
517052,2220,4.0,N.Jackson,8,4,2025-26
551210,0,0.0,Hato,8,2,2025-26
172649,3420,3.6,Henderson,31,1,2025-26
121709,0,0.0,Benitez,31,1,2025-26
169593,0,0.0,Matthews,31,1,2025-26
247348,3229,3.8,Muñoz,31,2,2025-26
437499,3116,3.3,Lacroix,31,2,2025-26
244723,3090,3.3,Mitchell,31,2,2025-26
218364,0,0.0,Sosa,31,2,2025-26
209036,3059,3.4,Guéhi,31,2,2025-26
427623,1921,2.8,Richards,31,2,2025-26
515621,90,1.0,Chadi Riad,31,2,2025-26
57328,477,1.4,Clyne,31,2,2025-26
156074,0,0.0,Holding,31,2,2025-26
590012,11,1.0,Kporha,31,2,2025-26
232413,2588,4.4,Eze,31,3,2025-26
232185,2708,3.9,Sarr,31,3,2025-26
438464,443,1.5,Doucouré,31,3,2025-26
606921,138,3.1,Esse,31,3,2025-26
108413,2100,2.0,Hughes,31,3,2025-26
209400,1545,1.3,Kamada,31,3,2025-26
152551,2270,1.8,Lerma,31,3,2025-26
496221,1314,2.1,Wharton,31,3,2025-26
579075,4,1.0,Agbinone,31,3,2025-26
466117,0,0.0,Ahamada,31,3,2025-26
489706,494,1.5,Devenny,31,3,2025-26
450535,0,0.0,Ebiowei,31,3,2025-26
450542,0,0.0,J.Rak-Sakyi,31,3,2025-26
536694,52,2.2,M.França,31,3,2025-26
531989,0,0.0,Ozoh,31,3,2025-26
530318,0,0.0,Rodney,31,3,2025-26
574398,0,0.0,Umeh,31,3,2025-26
231747,2642,4.1,Mateta,31,4,2025-26
205533,1018,1.8,Nketiah,31,4,2025-26
199670,141,1.2,Édouard,31,4,2025-26
576980,0,0.0,Marsh,31,4,2025-26
215413,257,1.4,Dewsbury-Hall,11,3,2025-26
