"Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"86417","Schlupp","MID","3","Crystal Palace","4.7","i","0.1","0","0","89","2.6","18.94","0","3","0.00","2528","3","2","9","38","0","0","0","7","0","0","2","324","404.6","257.6","314","97.9"
"103192","Zouma","DEF","2","West Ham","4.4","a","1.4","0","0","88","3.5","20.00","0","3","0.00","1988","2","1","7","29","0","0","0","0","0","0","8","385","415.0","18.7","239","67.4"
"18892","Young","DEF","2","Aston Villa","4.3","a","0.8","0","0","87","3","20.23","0","5","0.00","2031","1","0","9","28","0","0","0","7","0","0","8","388","380.2","223.4","81","68.7"
"61256","Casemiro","MID","3","Man United","4.9","a","2.4","0","0.6","87","3.1","17.76","0","8","0.00","2122","4","3","10","22","0","0","0","7","2","0","10","389","638.6","393.0","278","131.1"
"241157","Emerson Royal","DEF","2","Tottenham","4.8","a","1.8","6","2.8","86","3.3","17.92","0","4","0.00","1729","2","2","7","27","0","0","0","2","1","0","9","402","376.2","178.9","230","78.7"
"167199","Partey","MID","3","Arsenal","4.7","a","0.4","1","0.6","86","2.6","18.30","0","6","0.00","2480","3","0","11","28","0","0","0","5","0","0","6","468","513.2","439.6","240","119.5"
"166989","Tielemans","MID","3","Leicester City","6.1","a","1.2","0","0","86","2.8","14.10","0","6","0.00","2341","3","3","6","49","0","0","1","4","0","0","6","461","512.2","458.3","190","116.2"
"204580","Janelt","MID","3","Brentford","5.5","a","0.1","1","0.1","85","2.4","15.45","0","6","0.00","2201","3","1","8","28","0","0","0","3","0","0","5","357","411.2","246.1","223","88.1"
"456350","Bazunu","GK","1","Southampton","4.4","a","0.6","0","0","84","2.6","19.09","0","0","0.00","2880","0","0","4","56","0","1","0","0","0","69","3","485","633.0","10.0","0","64.2"
"57531","Antonio","STR","4","West Ham","6.9","a","1.5","1","0.1","84","2.5","12.17","0","5","0.00","1822","5","3","5","29","0","0","0","2","0","0","4","222","305.8","207.7","559","107.0"
"154296","Palhinha","MID","3","Fulham","4.9","a","0.3","0","0.1","83","2.4","16.94","0","7","0.00","3108","3","0","9","43","1","0","0","14","0","0","5","379","560.4","141.8","336","104.2"
"427637","Aaronson","MID","3","Leeds United","5.3","a","0.6","1","2.7","83","2.3","15.66","0","5","0.00","2365","1","4","5","58","0","0","0","2","0","0","0","232","306.0","662.6","439","141.1"
"172649","Henderson","GK","1","Nottingham Forest","4.6","i","5.2","0","0.4","82","4.6","17.83","0","0","0.00","1620","0","0","6","31","0","2","0","2","0","54","12","367","474.4","0.0","0","47.5"
"215059","Sánchez","GK","1","B & H Albion","4.4","a","7.6","18","17","82","3.6","18.64","0","0","0.00","2070","0","0","6","30","0","1","0","2","0","48","10","380","439.0","0.1","0","43.9"
"211975","Akanji","DEF","2","Man City","5.1","d","3.6","0","0.3","82","2.8","16.08","0","6","0.00","2284","0","1","7","23","0","0","0","2","0","0","5","460","385.6","146.5","180","71.4"
"184341","Mount","MID","3","Chelsea","7.2","d","3.4","15","16.1","82","3.4","11.39","0","0","0.00","1644","3","4","8","21","0","0","0","4","0","0","8","277","331.4","463.1","376","117.2"
"467169","Antony","MID","3","Man United","7.3","d","3.4","0","0.9","82","3.3","11.23","0","7","0.00","1803","4","2","12","21","0","0","0","5","0","0","4","262","322.0","421.0","633","137.1"
"215413","Dewsbury-Hall","MID","3","Leicester City","4.9","a","0.5","1","0.7","82","2.6","16.73","0","2","0.00","2305","2","3","7","41","0","0","0","3","1","0","5","347","446.6","527.7","233","121.0"
"173515","Iheanacho","STR","4","Leicester City","5.8","a","0.9","1","0.7","82","2.9","14.14","0","3","0.00","1112","5","5","1","23","0","0","0","0","0","0","9","237","306.6","228.9","437","95.7"
"199670","Edouard","STR","4","Crystal Palace","5","a","2","0","0.1","82","2.3","16.40","0","6","0.00","1788","5","2","5","25","0","0","0","3","0","0","5","225","351.6","227.7","544","111.5"
"101668","Vardy","STR","4","Leicester City","9.1","a","2.3","2","0.9","82","2.2","9.01","0","6","0.00","1841","3","5","4","38","0","0","1","1","0","0","4","206","287.0","173.5","451","90.6"
"221820","Martínez","DEF","2","Man United","4.4","i","4.7","0","0.1","81","3","18.41","0","0","0.00","2113","1","0","9","33","0","0","0","6","0","0","6","481","571.8","110.4","82","76.7"
"183656","Dasilva","MID","3","Brentford","4.1","a","3.8","5","7.8","81","2.2","19.76","0","5","0.00","1371","4","2","5","17","0","0","0","1","0","0","3","274","304.2","206.1","182","69.2"
"174874","Andersen","DEF","2","Crystal Palace","4.5","a","1.6","0","0.1","80","2.5","17.78","0","6","0.00","2782","1","0","8","37","2","0","0","8","0","0","1","483","641.8","146.3","273","106.4"
"51090","Thiago Silva","DEF","2","Chelsea","5.4","a","5.7","0","0.1","80","3","14.81","0","6","0.00","2351","0","2","6","32","0","0","0","2","0","0","8","524","657.2","86.1","137","88.0"
"171314","Dias","DEF","2","Man City","6","d","7.4","15","12.4","80","3.1","13.33","0","4","0.00","1997","0","0","9","16","0","0","0","3","0","0","1","432","416.8","83.7","124","62.5"
"465351","Matheus","MID","3","Wolverhampton","4.8","a","0.1","1","0.2","80","2.4","16.67","0","6","0.00","2467","1","1","11","38","0","0","0","2","1","0","5","338","370.2","405.0","310","108.6"
"194634","Diogo Jota","STR","4","Liverpool","8.6","a","2","0","0","80","3.6","9.30","0","7","0.00","1125","7","4","5","19","0","0","0","2","0","0","9","282","304.2","237.9","337","87.5"
"219924","Diop","DEF","2","Fulham","4.3","a","0.3","0","0.1","79","3.2","18.37","0","6","0.00","2008","1","0","7","26","0","0","0","2","0","0","8","422","432.6","27.7","78","53.8"
"486672","Caicedo","MID","3","B & H Albion","5","a","0.4","0","0.2","79","2.1","15.80","0","9","0.00","3138","1","1","10","47","0","0","0","10","0","0","0","503","582.2","668.6","210","146.3"
"85955","Jorginho","MID","3","Arsenal","5.7","a","1.9","17","11.8","79","2.5","13.86","0","6","0.00","2127","2","2","9","23","0","0","0","4","0","0","5","379","386.4","254.1","97","73.9"
"55494","Ward","DEF","2","Crystal Palace","4.4","a","0.4","0","0.1","78","2.8","17.73","0","6","0.00","2253","1","0","8","35","0","0","0","6","0","0","5","403","436.2","164.3","114","71.6"
"218218","Faes","DEF","2","Leicester City","4.2","a","0.2","0","0.1","78","2.5","18.57","0","6","0.00","2786","1","2","7","51","2","0","0","4","1","0","5","545","662.4","115.6","93","87.1"
"114243","Murphy","MID","3","Newcastle United","4.2","a","3.2","1","1.3","78","2.2","18.57","0","5","0.00","1230","4","2","3","12","0","0","0","0","0","0","2","240","275.0","302.5","410","98.9"
"94147","Coady","DEF","2","Everton","4.7","a","3","0","0","77","3.2","16.38","0","2","0.00","2094","1","1","7","28","0","0","0","2","0","0","5","397","392.6","59.5","88","54.0"
"90152","Varane","DEF","2","Man United","4.8","a","3.1","0","0","77","3.2","16.04","0","3","0.00","1912","0","0","10","22","1","0","0","1","0","0","2","392","387.0","74.0","124","58.8"
"449871","Onana","MID","3","Everton","4.7","a","0.1","0","0","77","2.3","16.38","0","5","0.00","2486","1","3","9","37","0","0","0","9","0","0","2","300","347.2","295.1","280","92.0"
"121599","A.Doucouré","MID","3","Everton","5.3","a","0.2","1","0.2","76","3","14.34","0","6","0.00","1527","5","2","4","27","0","0","0","6","1","0","10","263","315.8","261.2","229","80.3"
"200402","Semedo","DEF","2","Wolverhampton","5","a","0.6","0","0.1","75","2.1","15.00","0","6","0.00","2633","0","1","8","43","0","0","0","11","1","0","5","424","443.4","226.5","79","74.4"
"224967","Mykolenko","DEF","2","Everton","4.1","d","0.6","2","0.3","75","2.2","18.29","0","3","0.00","2653","0","1","7","46","0","0","0","4","0","0","4","449","504.8","307.0","120","93.4"
