"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"433","222531","Gibbs-White","MID","3","Nottingham Forest","6.5","a","7.4","6","6.7","154","4.5","23.69","29","6","4.83","2806","7","11","13","34","0","0","0","9","1","0","18","594","680.4","793.7","632","210.6","2","11","13","1","1","1","2","2","3","5","5","3","5","5","16","2","5","1","8","10","6","2","8","13","1","2","","1","3","","","2","","-1","3","1","10","2"
"120","83299","Dunk","DEF","2","B & H Albion","4.2","a","2.3","13","6.6","44","1.8","10.48","3","3","1.00","2081","0","1","4","42","1","0","0","5","0","0","0","223","425.4","115.7","128","66.9","","","","2","1","0","0","1","2","","","","","","-3","2","2","1","","1","6","5","0","1","0","1","","","","","6","1","-1","0","6","2","2","6"
"270","449429","Greaves","DEF","2","Ipswich Town","3.8","a","2.3","7","6","37","1.5","9.74","5","6","0.83","2205","1","0","2","53","0","0","0","5","0","0","0","171","592.8","77.2","157","82.7","1","1","2","1","0","0","","","","0","1","1","0","1","1","6","","1","1","6","2","","","","1","","","","","","","0","0","2","6","2","0","1"
"235","111234","Pickford","GK","1","Everton","5.2","a","15.9","3","5.2","158","4.2","30.38","27","6","4.50","3420","0","1","12","44","0","2","0","7","0","122","15","593","1052.0","20.3","0","107.0","11","6","3","2","4","1","9","3","3","3","2","2","1","3","10","5","2","1","4","1","9","7","8","","6","0","6","11","2","2","6","15","2","2","2","2","1","1"
"395","78916","Burn","DEF","2","Newcastle United","4.6","a","12.6","5","5.1","115","3.1","25.00","27","6","4.50","3330","1","1","13","45","2","0","0","11","0","0","9","476","736.6","123.6","297","115.8","2","1","11","2","13","-2","7","6","2","","5","1","1","0","0","2","0","6","1","7","6","6","6","0","1","4","","1","6","1","1","8","2","1","1","0","1","5"
"58","178301","Watkins","STR","4","Aston Villa","9.2","a","29","5","5.1","186","4.9","20.22","30","6","5.00","2593","16","8","10","40","0","0","0","2","0","0","32","631","766.0","345.2","1148","223.8","2","5","9","2","","12","7","2","0","","9","5","2","15","1","5","8","8","2","12","1","1","1","1","12","2","7","2","2","2","8","2","11","6","13","5","2","2"
"443","85633","Sels","GK","1","Nottingham Forest","5.2","a","19.9","2","4.9","150","3.9","28.85","11","6","1.83","3420","0","1","13","46","0","0","0","4","0","120","11","521","942.2","20.2","0","96.7","2","3","2","1","1","2","3","3","8","1","8","6","0","3","8","1","1","3","9","6","8","7","2","2","2","6","2","2","6","5","11","3","2","1","9","2","6","3"
"546","531363","Fraser","STR","4","Wolverhampton","4.5","u","1","2","4.6","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","184029","Ødegaard","MID","3","Arsenal","8.2","a","5.7","3","4.2","116","3.9","14.15","37","6","6.17","2321","3","9","11","21","0","0","0","4","0","0","11","529","524.6","968.7","493","198.8","7","6","5","8","","11","0","1","2","5","3","3","2","3","6","","2","8","1","2","3","2","3","2","3","8","6","7","","","","","","","","2","2","3"
"364","493250","Amad","MID","3","Man United","5.3","a","4.1","3","4.2","129","5","24.34","22","4","5.50","1898","8","8","7","30","0","0","0","5","0","0","17","569","634.0","687.2","615","193.8","13","1","2","6","","","","","","","","","","","2","3","2","20","9","2","2","2","13","5","1","11","8","6","0","1","","","1","3","6","1","6","3"
"422","159506","Aina","DEF","2","Nottingham Forest","5.3","a","13","7","4.1","128","3.7","24.15","5","5","1.00","2996","2","1","12","39","0","0","0","5","0","0","15","483","578.2","282.3","80","94.1","1","2","0","1","1","","","","1","1","6","6","0","1","6","1","4","2","6","8","6","15","2","1","1","8","0","1","15","2","6","2","2","0","8","2","9","1"
"413","98747","Pope","GK","1","Newcastle United","5","a","6.1","5","4.1","102","3.6","20.40","23","6","3.83","2520","0","0","8","35","0","1","0","2","0","88","2","384","666.0","10.0","0","67.4","3","3","7","2","6","2","15","6","2","","6","1","1","","","","","","","","","","","1","0","2","2","2","5","2","3","6","3","3","3","4","3","9"
"174","514356","Lavia","MID","3","Chelsea","4.5","a","0.4","1","3.7","26","1.6","5.78","10","5","2.00","792","0","1","3","11","0","0","0","4","0","0","0","125","113.2","121.7","7","24.4","1","1","2","3","3","","","","","1","","","","","","","","0","","","","","","0","","3","0","2","2","4","1","","1","","","","","2"
"69","523700","Jebbison","STR","4","Bournemouth","4.5","a","1.1","5","3.7","20","1.2","4.44","10","5","2.00","105","1","0","0","2","0","0","0","1","0","0","1","67","58.2","39.1","70","16.6","1","6","1","1","1","","","1","1","1","","","1","1","1","1","0","1","","","","","","","","","","","","","","","","","","","1","1"
"182","244851","Palmer","MID","3","Chelsea","10.5","a","34.3","5","3.6","214","5.8","20.38","22","6","3.67","3193","15","10","10","41","0","0","1","7","0","0","35","952","1068.2","1259.2","1052","338.0","3","2","2","10","3","2","4","1","6","","1","3","2","2","6","2","2","10","10","2","10","3","3","18","7","14","2","2","3","10","2","6","25","8","3","6","17","2"
"445","224068","Turner","GK","1","Crystal Palace","3.9","a","7.2","3","3.5","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","592031","Minteh","MID","3","B & H Albion","4.8","a","1","4","3.4","102","3.2","21.25","19","6","3.17","1831","6","5","4","33","0","0","0","6","0","0","8","398","523.8","448.9","615","159.1","2","2","3","9","1","2","2","5","","2","2","2","6","15","2","0","12","1","0","1","1","1","2","6","1","1","","","","","","7","1","1","2","4","2","4"
"191","174874","Andersen","DEF","2","Fulham","4.2","a","3.4","3","3.2","51","1.7","12.14","7","6","1.17","2673","0","0","4","47","1","0","0","7","1","0","3","306","687.6","99.0","162","95.0","1","0","1","2","2","1","2","1","0","6","0","2","-1","2","1","2","6","1","1","0","1","","","","","","0","7","2","","-2","1","8","2","2","","","0"
"434","209046","Hudson-Odoi","MID","3","Nottingham Forest","5.1","a","1.2","2","3.2","103","3.3","20.20","4","4","1.00","2190","5","3","11","23","0","0","0","2","0","0","7","454","445.6","663.9","405","151.0","1","1","","","1","1","2","2","","3","10","3","8","1","","","6","2","6","","3","3","2","5","","3","2","1","10","2","3","2","1","4","7","2","3","3"
"286","461416","Cannon","STR","4","Leicester City","4.5","u","0.3","3","3.2","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
