ID,Player Name,Position,HidPos,Team,Value,Status,Picked %,Picked Top 100 %,Picked Top 1000 %,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Wk 38,Wk 37,Wk 36,Wk 35,Wk 34,Wk 33,Wk 32,Wk 31,Wk 30,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
182,Bryan,DEF,2,Fulham,4.5,a,0.3,0,0.0,27,1.7,6.0,13,3,4.33,663,1,1,0,17,0,0,0,2,0,0,2,132,143.0,100.3,85,32.8,2.0,10.0,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,0.0,3.0,1.0
186,Rodák,GK,1,Fulham,4.3,a,0.2,0,0.0,2,1.0,0.47,1,1,1.0,180,0,0,0,5,0,0,0,0,0,4,0,23,32.6,0.0,0,3.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
187,Cavaleiro,MID,3,Fulham,5.3,a,0.1,0,0.0,85,2.4,16.04,10,5,2.0,2465,3,0,7,43,0,0,1,2,0,0,4,261,342.8,645.7,530,152.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,3.0,4.0,8.0,,,3.0,,3.0,2.0,2.0,10.0,0.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0
695,Carvalho,MID,3,Fulham,4.5,a,0.0,0,0.2,12,3.0,2.67,12,4,3.0,254,1,0,0,6,0,0,0,0,0,0,0,42,67.6,31.1,161,26.0,2.0,2.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Hernández,MID,3,Leeds United,5.7,a,0.3,0,0.0,28,1.8,4.91,7,2,3.5,414,0,3,1,6,0,0,0,1,0,0,0,103,84.0,97.8,153,33.4,6.0,,,,1.0,,1.0,,,,,,0.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,,7.0,,,,,,2.0,1.0,1.0,,,,2.0
194,Casilla,GK,1,Leeds United,4.1,a,1.0,0,0.0,14,4.7,3.41,12,2,6.0,270,0,0,1,2,0,0,0,0,0,8,2,58,68.2,0.0,0,6.8,3.0,9.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
195,Cooper,DEF,2,Leeds United,4.3,a,0.3,0,0.0,59,2.4,13.72,7,2,3.5,2186,1,0,6,41,0,0,0,4,1,0,2,454,620.0,17.7,259,89.7,1.0,6.0,,,,,,-2.0,2.0,,,1.0,2.0,8.0,0.0,7.0,1.0,2.0,2.0,2.0,,,,,5.0,1.0,1.0,1.0,5.0,5.0,-1.0,0.0,,,3.0,6.0,1.0,
201,Alioski,DEF,2,Leeds United,4.4,a,3.2,1,1.7,110,3.1,25.0,29,6,4.83,2456,2,3,10,35,0,0,0,7,0,0,7,449,478.0,423.0,281,118.5,2.0,6.0,10.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,-1.0,6.0,1.0,2.0,0.0,2.0,,1.0,12.0,6.0,-1.0,8.0,0.0,1.0,6.0,9.0,0.0,1.0,7.0,,1.0,1.0,1.0,
204,Phillips,MID,3,Leeds United,4.9,a,0.9,0,0.0,67,2.3,13.67,12,5,2.4,2428,1,2,9,34,0,0,0,10,0,0,2,396,534.2,539.3,82,115.7,6.0,0.0,2.0,1.0,,3.0,2.0,2.0,2.0,1.0,3.0,1.0,,,,3.0,2.0,2.0,2.0,,,1.0,3.0,3.0,1.0,1.0,2.0,7.0,3.0,2.0,,,,1.0,2.0,2.0,2.0,5.0
492,Rodrigo,STR,4,Leeds United,5.7,a,2.7,0,0.0,89,3.4,15.61,33,5,6.6,1279,7,4,3,21,0,0,0,3,0,0,16,341,398.4,409.7,617,142.4,8.0,5.0,12.0,7.0,1.0,,,,0.0,,0.0,1.0,,,,,,1.0,4.0,2.0,,2.0,8.0,1.0,2.0,12.0,2.0,1.0,1.0,1.0,,,5.0,2.0,8.0,1.0,1.0,1.0
570,Raphinha,MID,3,Leeds United,5.6,a,9.4,16,19.2,133,4.4,23.75,18,4,4.5,2358,6,10,9,34,0,0,0,3,0,0,11,489,719.6,889.3,902,251.3,5.0,3.0,6.0,4.0,,,,2.0,6.0,8.0,3.0,2.0,2.0,12.0,5.0,6.0,9.0,5.0,13.0,2.0,,2.0,8.0,3.0,8.0,1.0,2.0,1.0,9.0,3.0,1.0,,1.0,1.0,,,,
685,Berardi,DEF,2,Leeds United,4.0,a,0.0,0,0.0,8,4.0,2.0,8,2,4.0,113,0,0,1,0,0,0,0,0,0,0,1,30,16.0,0.7,18,3.5,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Steffen,GK,1,Man City,4.4,a,0.1,0,0.0,2,2.0,0.45,0,0,0.0,90,0,0,0,1,0,0,0,0,0,1,0,8,9.6,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
290,Mata,MID,3,Man United,5.8,a,0.1,0,0.1,32,3.6,5.52,12,2,6.0,507,1,3,1,6,0,0,0,0,0,0,3,126,108.4,132.8,86,32.7,10.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,4.0,,6.0,2.0,,1.0,5.0,,,,
295,Matic,MID,3,Man United,4.7,a,0.2,0,0.0,36,1.8,7.66,6,4,1.5,1101,0,1,4,18,0,0,0,2,0,0,0,223,221.4,148.9,80,45.0,2.0,,,4.0,,,,1.0,,,,1.0,3.0,2.0,,,,,2.0,1.0,3.0,0.0,3.0,,,2.0,,,2.0,3.0,,1.0,,1.0,1.0,4.0,,
305,Henderson,GK,1,Man United,5.2,a,2.1,1,1.5,44,3.4,8.46,10,4,2.5,1125,0,0,4,12,0,0,0,3,0,40,1,218,275.4,0.0,0,27.5,2.0,,,1.0,,7.0,2.0,2.0,2.0,,6.0,8.0,6.0,,,,,,,,,,,,,1.0,,3.0,1.0,,,,,,,,,
307,Tuanzebe,DEF,2,Man United,4.1,a,0.1,0,0.1,7,0.8,1.71,5,3,1.67,402,0,0,0,8,1,0,0,2,0,0,0,59,95.0,6.0,0,10.0,2.0,2.0,,1.0,,,,,,,,,,,,0.0,,,0.0,,1.0,1.0,,-1.0,,,,,,,1.0,,,,,,,
310,Bailly,DEF,2,Man United,4.8,a,0.3,0,0.0,31,2.6,6.46,4,4,1.0,915,0,0,3,17,0,0,0,3,0,0,6,178,175.6,8.3,26,21.1,2.0,,,2.0,,,,,,,,,8.0,,,,,,,2.0,7.0,1.0,9.0,1.0,,,,,,,,,,,-2.0,1.0,,
318,Williams,DEF,2,Man United,4.2,a,0.5,0,0.0,5,1.2,1.19,3,2,1.5,187,0,0,0,3,0,0,0,0,0,0,0,26,26.6,19.4,19,6.5,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
568,Telles,DEF,2,Man United,5.3,a,0.5,0,0.1,25,2.8,4.72,3,2,1.5,689,0,2,1,11,0,0,0,0,0,0,3,149,168.6,200.7,33,40.1,2.0,,,1.0,,,,,,,,,,,,,,,7.0,,,,1.0,,1.0,1.0,,5.0,1.0,6.0,,,,,,,,
640,Diallo,MID,3,Man United,5.4,a,0.0,0,0.1,8,2.7,1.48,8,3,2.67,165,0,1,0,3,0,0,0,0,0,0,0,34,38.0,31.2,9,7.8,2.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Elanga,MID,3,Man United,4.5,a,0.0,0,0.0,11,5.5,2.44,11,2,5.5,155,1,0,0,2,0,0,0,0,0,0,2,32,51.6,19.7,29,10.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Carroll,STR,4,Newcastle United,5.1,a,0.3,0,0.1,30,1.7,5.88,1,1,1.0,380,1,1,1,8,0,0,0,1,0,0,3,78,64.0,37.1,187,27.7,,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,3.0,1.0,8.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,4.0,1.0,2.0
321,Shelvey,MID,3,Newcastle United,5.3,a,0.2,0,0.0,74,2.5,13.96,16,6,2.67,2616,1,3,6,46,0,0,0,7,0,0,2,377,474.2,522.1,299,129.6,3.0,3.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,5.0,2.0,4.0,,1.0,,,2.0,,2.0,,3.0,,,,,2.0,2.0,1.0,1.0,3.0
329,Gayle,STR,4,Newcastle United,5.9,a,0.1,0,0.0,31,1.7,5.25,8,5,1.6,501,1,1,0,9,0,0,0,0,0,0,3,79,79.6,89.4,263,42.4,1.0,1.0,1.0,,1.0,4.0,,1.0,2.0,,2.0,1.0,,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,8.0,,,,,,,,,,,
488,Gillespie,GK,1,Newcastle United,4.3,a,0.1,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Egan,DEF,2,Sheffield Utd,4.7,a,1.6,0,0.1,57,1.8,12.13,21,6,3.5,2628,0,1,4,48,0,0,0,7,1,0,4,410,515.4,50.8,144,71.0,6.0,2.0,6.0,1.0,-1.0,7.0,2.0,1.0,1.0,,,,,,1.0,1.0,7.0,1.0,,0.0,7.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,-1.0,2.0,1.0,2.0,1.0,,-2.0,0.0
397,Winks,MID,3,Tottenham,5.1,a,0.1,0,0.0,19,1.3,3.73,5,4,1.25,856,0,0,1,16,0,0,0,5,0,0,0,124,128.2,77.6,24,22.8,1.0,2.0,1.0,,1.0,,1.0,,,,,2.0,,,,,,,1.0,,2.0,2.0,,1.0,0.0,,,,,,,,,1.0,,1.0,2.0,1.0
398,Sánchez,DEF,2,Tottenham,5.2,a,0.7,0,0.0,43,2.4,8.27,1,1,1.0,1486,0,0,4,22,1,0,0,1,0,0,3,256,319.2,20.0,114,45.5,1.0,,,,,,,,1.0,6.0,0.0,2.0,15.0,1.0,1.0,6.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,-1.0,2.0,2.0,1.0,
457,Doherty,DEF,2,Tottenham,5.6,a,3.8,0,0.0,47,2.8,8.39,2,2,1.0,1238,0,2,4,15,0,0,0,2,1,0,4,222,257.2,182.4,79,52.0,1.0,1.0,,,,,,,,,1.0,4.0,8.0,1.0,,1.0,,,1.0,,,3.0,,2.0,,,,,,,12.0,2.0,6.0,,,2.0,0.0,2.0
15,Maitland-Niles,DEF,2,West Bromwich Albion,4.6,a,0.8,0,0.0,68,2.6,14.78,10,5,2.0,1714,0,2,6,23,0,0,0,2,0,0,1,273,218.2,128.9,142,48.8,1.0,2.0,1.0,,1.0,5.0,1.0,6.0,1.0,,2.0,6.0,8.0,6.0,1.0,1.0,,,,,6.0,1.0,1.0,,5.0,2.0,1.0,,,1.0,,1.0,,,1.0,1.0,,6.0
358,Callum Robinson,STR,4,West Bromwich Albion,5.2,a,0.8,0,0.1,79,2.8,15.19,7,4,1.75,1552,5,3,3,42,0,0,0,0,0,0,8,276,259.0,251.3,365,86.6,2.0,,,2.0,1.0,2.0,1.0,8.0,11.0,,,,,,,,2.0,1.0,1.0,11.0,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,13.0,2.0,1.0
411,Phillips,MID,3,West Bromwich Albion,5.1,a,0.1,0,0.0,69,2.1,13.53,10,6,1.67,1815,2,1,3,42,0,0,0,1,0,0,3,234,290.0,388.2,319,99.9,2.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,2.0,,2.0,3.0,5.0,1.0,1.0,1.0,9.0,1.0,1.0,,,2.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,
