ID,Min,PPG,Player Name,team_code,season,New In Team,Position,New In League,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
171287,517,1.6,Gomez,14,2025-26,False,2.0,False,9,,103.0,1.6,2.0,2.4,517.0,1144.5,1250.0,517.0,1144.5,1250.0
171314,2269,3.3,Rúben,43,2025-26,False,2.0,False,5,,2218.0,3.3,3.0999999999999996,3.1,2269.0,2413.0,2274.3333333333335,2269.0,2413.0,2274.3333333333335
171422,0,0.0,Browne,56,2025-26,True,3.0,True,0,,,,,,,,,,,
172567,0,0.0,Cullen,90,2025-26,True,3.0,True,3,,,2.6,1.8,1.2,2055.0,1030.5,687.0,2055.0,2055.0,2055.0
172649,3420,3.6,Henderson,31,2025-26,False,1.0,False,6,,3116.0,3.6,3.1500000000000004,3.6333333333333333,3420.0,2520.0,2220.0,3420.0,2520.0,2520.0
172780,1799,4.3,Maddison,6,2025-26,False,3.0,False,7,,2199.0,4.3,4.25,4.333333333333333,1799.0,1968.0,2138.3333333333335,1799.0,1968.0,1968.0
174592,0,0.0,Edwards,90,2025-26,True,3.0,True,0,,,,,,,,,,,
174594,0,0.0,Nmecha,2,2025-26,True,4.0,True,1,,,1.0,1.0,1.0,14.0,14.0,14.0,,,
174874,2673,1.7,Andersen,54,2025-26,False,2.0,False,5,,2673.0,1.7,2.45,2.466666666666667,2673.0,3044.5,2957.0,2673.0,2701.0,2701.0
176297,1414,3.8,Rashford,1,2025-26,True,3.0,False,9,,,3.8,3.55,4.333333333333333,1414.0,1839.0,2186.0,2264.0,2572.0,2122.6666666666665
178186,2974,5.7,Bowen,21,2025-26,False,4.0,False,7,,3348.0,5.7,5.550000000000001,4.966666666666667,2974.0,2997.0,3075.3333333333335,2974.0,2997.0,3075.3333333333335
178301,2593,4.9,Watkins,7,2025-26,False,4.0,False,5,,1613.0,4.9,5.550000000000001,5.266666666666667,2593.0,2907.5,2981.3333333333335,2593.0,2907.5,2981.3333333333335
179268,2988,3.7,Cucurella,8,2025-26,False,2.0,False,4,,2262.0,3.7,2.9000000000000004,2.8333333333333335,2988.0,2385.5,2146.6666666666665,2988.0,2385.5,2146.6666666666665
179458,0,0.0,Bruun Larsen,90,2025-26,True,3.0,True,1,,,2.6,2.6,2.6,1235.0,1235.0,1235.0,1235.0,1235.0,1235.0
180135,783,1.4,Longstaff,2,2025-26,True,3.0,False,7,,,1.4,2.25,2.4333333333333336,783.0,1762.5,2013.0,,,
180736,1969,3.7,Chalobah,8,2025-26,False,2.0,False,5,,2262.0,3.7,3.35,2.9,1969.0,1459.0,1506.3333333333333,1969.0,1459.0,1506.3333333333333
180804,1710,1.2,Tuanzebe,90,2025-26,True,2.0,False,6,,,1.2,1.4,1.2,1710.0,1107.5,872.3333333333334,,,
180974,2394,3.4,Joelinton,4,2025-26,False,3.0,False,6,,299.0,3.4,2.8,3.0666666666666664,2394.0,1835.0,2110.0,2394.0,1835.0,2110.0
181284,979,2.1,Guedes,39,2025-26,False,3.0,False,3,,2587.0,2.1,1.05,1.4333333333333336,979.0,489.5,560.6666666666666,979.0,489.5,560.6666666666666
